Gene Name ;Protein group ;Euclidean Distance from REPLICOME;Q-VALUE from REPLICOME;Euclidean Distance from ER;Q-VALUE from ER;RISULTATO;DELTA DISTANZA ;Organism;Final Organelle;PREDICTED LOCALIZATION IN INF (analisi 15 con proteine virali);Protein description
NADK;O95544;2,362725;1,00E+00;2,126197;1,00E+00;Vicino all'ER;0,236528;Homo sapiens;;Cytoplasm;NAD kinase
NADK2;"B7Z8V7;Q4G0N4";1,337335;2,19E-01;1,076536;1,16E-01;Vicino all'ER;0,260799;Homo sapiens;Mitochondria;Mitochondria;"NAD kinase 2, mitochondrial;NAD kinase 2, mitochondrial"
NADSYN1;Q6IA69;2,117394;1,00E+00;1,913255;1,00E+00;Vicino all'ER;0,204139;Homo sapiens;;protein-complex;Glutamine-dependent NAD(+) synthetase
NAE1;Q13564;2,012095;1,00E+00;1,784031;1,00E+00;Vicino all'ER;0,228064;Homo sapiens;;Cytoplasm;NEDD8-activating enzyme E1 regulatory subunit
NAF1;Q96HR8;2,076718;1,00E+00;1,826008;1,00E+00;Vicino all'ER;0,25071;Homo sapiens;;Cytoplasm;H/ACA ribonucleoprotein complex non-core subunit NAF1
NAGA;P17050;0,8526393;1,13E-02;0,7113827;7,05E-03;Vicino all'ER;0,1412566;Homo sapiens;Lysosome;Lysosome;Alpha-N-acetylgalactosaminidase
NAGK;Q9UJ70;1,923512;1,00E+00;1,697667;1,00E+00;Vicino all'ER;0,225845;Homo sapiens;Cytoplasm;Cytoplasm;N-acetyl-D-glucosamine kinase
NAGLU;P54802;0,819092;9,04E-03;0,8251955;1,74E-02;Vicino al REPLICOMA;0,0061035;Homo sapiens;Lysosome;Lysosome;Alpha-N-acetylglucosaminidase
NAGPA;Q9UK23;1,38522;2,76E-01;1,258246;3,11E-01;Vicino all'ER;0,126974;Homo sapiens;;PM;N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase
NAMPT;"A0A7P0T9I9;P43490";2,095692;1,00E+00;1,857119;1,00E+00;Vicino all'ER;0,238573;Homo sapiens;;Cytoplasm;Nicotinamide phosphoribosyltransferase
NANS;Q9NR45;2,093088;1,00E+00;1,835609;1,00E+00;Vicino all'ER;0,257479;Homo sapiens;;endosome-vesicle;Sialic acid synthase
NANS;Q5TBR1;2,102272;1,00E+00;1,852505;1,00E+00;Vicino all'ER;0,249767;Homo sapiens;;Cytoplasm;N-acetylneuraminate synthase (Fragment)
NAP1L1;"F5H4R6;F8VY35;H0YIV4;P55209";2,093169;1,00E+00;1,851533;1,00E+00;Vicino all'ER;0,241636;Homo sapiens;;Cytoplasm;"Nucleosome assembly protein 1 like 1;Nucleosome assembly protein 1 like 1 (Fragment);Nucleosome assembly protein 1 like 1 (Fragment);Nucleosome assembly protein 1-like 1"
NAP1L1;F8W543;2,147117;1,00E+00;1,900202;1,00E+00;Vicino all'ER;0,246915;Homo sapiens;;Cytoplasm;Nucleosome assembly protein 1 like 1
NAP1L4;Q99733;2,094515;1,00E+00;1,849863;1,00E+00;Vicino all'ER;0,244652;Homo sapiens;;Cytoplasm;Nucleosome assembly protein 1-like 4
NAPA;P54920;1,333558;2,14E-01;1,200783;2,31E-01;Vicino all'ER;0,132775;Homo sapiens;;PM;Alpha-soluble NSF attachment protein
NAPEPLD;Q6IQ20;1,665048;7,62E-01;1,476681;7,23E-01;Vicino all'ER;0,188367;Homo sapiens;;PM;N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D
NAPG;Q99747;1,317714;1,99E-01;1,201921;2,33E-01;Vicino all'ER;0,115793;Homo sapiens;;PM;Gamma-soluble NSF attachment protein
NARS1;O43776;2,174279;1,00E+00;1,94159;1,00E+00;Vicino all'ER;0,232689;Homo sapiens;Cytoplasm;Cytoplasm;Asparagine--tRNA ligase, cytoplasmic
NARS2;"A0A8Q3SHL5;Q96I59";1,133351;7,17E-02;0,8992555;3,20E-02;Vicino all'ER;0,2340955;Homo sapiens;Mitochondria;Mitochondria;"Asparaginyl-tRNA synthetase 2, mitochondrial;Asparaginyl-tRNA synthetase"
NASP;P49321;1,825361;1,00E+00;1,599889;9,60E-01;Vicino all'ER;0,225472;Homo sapiens;;Cytoplasm;Nuclear autoantigenic sperm protein
NAT10;Q9H0A0;1,191157;9,93E-02;1,118058;1,47E-01;Vicino all'ER;0,073099;Homo sapiens;;Nucleus;RNA cytidine acetyltransferase
NAT14;Q8WUY8;1,061941;4,73E-02;0,7499201;9,49E-03;Vicino all'ER;0,3120209;Homo sapiens;;ER;Probable N-acetyltransferase 14
NAV1;"A0A8I5KSE4;Q8NEY1";1,219037;1,16E-01;1,145378;1,71E-01;Vicino all'ER;0,073659;Homo sapiens;;ER;Neuron navigator 1
NAV3;Q8IVL0;1,767196;9,38E-01;1,559573;8,82E-01;Vicino all'ER;0,207623;Homo sapiens;;Translation;Neuron navigator 3
NAXD;"A0A7P0T906;A0A7P0T9D8;A0A7P0T9R3;Q8IW45";1,909742;1,00E+00;1,658894;1,00E+00;Vicino all'ER;0,250848;Homo sapiens;;Cytoplasm;ATP-dependent (S)-NAD(P)H-hydrate dehydratase
NAXE;Q8NCW5;2,009882;1,00E+00;1,75439;1,00E+00;Vicino all'ER;0,255492;Homo sapiens;;Cytoplasm;NAD(P)H-hydrate epimerase
NBAS;A2RRP1;0,5607622;8,93E-04;0,5735072;1,62E-03;Vicino al REPLICOMA;0,012745;Homo sapiens;ER;ER;NBAS subunit of NRZ tethering complex
NBN;"A0A8V8TKW6;A0A8V8TM80;O60934";1,288954;1,72E-01;1,053542;9,99E-02;Vicino all'ER;0,235412;Homo sapiens;Nucleus;Mitochondria;Nibrin
NBR1;Q14596;1,927348;1,00E+00;1,650355;1,00E+00;Vicino all'ER;0,276993;Homo sapiens;;endosome-vesicle;Next to BRCA1 gene 1 protein
NCALD;P61601;1,606358;6,53E-01;1,40328;5,74E-01;Vicino all'ER;0,203078;Homo sapiens;;Golgi apparatus;Neurocalcin-delta
NCAM2;"H9KV31;O15394";1,5449;5,36E-01;1,502023;7,73E-01;Vicino all'ER;0,042877;Homo sapiens;;PM;Neural cell adhesion molecule 2
NCAPD2;Q15021;2,488439;1,00E+00;2,251711;1,00E+00;Vicino all'ER;0,236728;Homo sapiens;;protein-complex;Condensin complex subunit 1
NCAPD3;"A0A8I5KT00;E9PKK4;G3V1A9;P42695";1,508344;4,67E-01;1,240023;2,84E-01;Vicino all'ER;0,268321;Homo sapiens;;Mitochondria;"Condensin-2 complex subunit D3;Non-SMC condensin II complex subunit D3;Condensin-2 complex subunit D3;Condensin-2 complex subunit D3"
NCAPG;Q9BPX3;2,178254;1,00E+00;1,929779;1,00E+00;Vicino all'ER;0,248475;Homo sapiens;;Cytoplasm;Condensin complex subunit 3
NCAPH;"E9PHA2;Q15003";2,248269;1,00E+00;2,006005;1,00E+00;Vicino all'ER;0,242264;Homo sapiens;;Cytoplasm;Condensin complex subunit 2
NCBP1;Q09161;0,8291607;9,55E-03;0,7523317;9,67E-03;Vicino all'ER;0,076829;Homo sapiens;;Nucleus;Nuclear cap-binding protein subunit 1
NCBP2;"C9JQX9;F6WVI0;P52298";1,084108;5,44E-02;1,020157;7,94E-02;Vicino all'ER;0,063951;Homo sapiens;;Cytoplasm;"Nuclear cap-binding protein subunit 2 (Fragment);Nuclear cap-binding protein subunit 2;Nuclear cap-binding protein subunit 2"
NCBP3;Q53F19;1,092246;5,70E-02;0,953838;4,91E-02;Vicino all'ER;0,138408;Homo sapiens;Nucleus;Nucleus;Nuclear cap-binding protein subunit 3
NCDN;Q9UBB6;2,243899;1,00E+00;2,013958;1,00E+00;Vicino all'ER;0,229941;Homo sapiens;;Cytoplasm;Neurochondrin
NCEH1;"A0A0A0MTJ9;Q6PIU2";0,2950659;0,00E+00;0,3905238;1,60E-04;Vicino al REPLICOMA;0,0954579;Homo sapiens;;ER;Neutral cholesterol ester hydrolase 1
NCK1;P16333;2,093339;1,00E+00;1,847469;1,00E+00;Vicino all'ER;0,24587;Homo sapiens;Cytoplasm;Cytoplasm;SH2/SH3 adapter protein NCK1
NCK2;O43639;2,132015;1,00E+00;1,884783;1,00E+00;Vicino all'ER;0,247232;Homo sapiens;;Cytoplasm;Cytoplasmic protein NCK2
NCKAP1;Q9Y2A7;1,812089;1,00E+00;1,647944;1,00E+00;Vicino all'ER;0,164145;Homo sapiens;;Cytoplasm;Nck-associated protein 1
NCKAP1L;"F8W050;P55160";1,920617;1,00E+00;1,692961;1,00E+00;Vicino all'ER;0,227656;Homo sapiens;;Cytoplasm;"NCK associated protein 1 like;Nck-associated protein 1-like"
NCKIPSD;Q9NZQ3;2,12848;1,00E+00;1,886867;1,00E+00;Vicino all'ER;0,241613;Homo sapiens;;Cytoplasm;NCK-interacting protein with SH3 domain
NCL;"A0A7I2V428;C9JLB1;P19338";1,330369;2,12E-01;1,257141;3,09E-01;Vicino all'ER;0,073228;Homo sapiens;;Translation;Nucleolin
NCLN;Q969V3;1,123829;6,84E-02;0,9772511;5,89E-02;Vicino all'ER;0,1465779;Homo sapiens;ER;ER;BOS complex subunit NCLN
NCOA5;Q9HCD5;1,220891;1,17E-01;1,145675;1,72E-01;Vicino all'ER;0,075216;Homo sapiens;;Nucleus;Nuclear receptor coactivator 5
NCOR2;"C9J0Q5;C9JE98;Q9Y618";0,853788;1,14E-02;0,8382899;1,96E-02;Vicino all'ER;0,0154981;Homo sapiens;Nucleus;Nucleus;Nuclear receptor corepressor 2
NCS1;P62166;2,051781;1,00E+00;1,799283;1,00E+00;Vicino all'ER;0,252498;Homo sapiens;;Cytoplasm;Neuronal calcium sensor 1
NCSTN;"A0A8V8TNI9;A0A8V8TNV7;Q92542";1,162049;8,50E-02;1,042078;9,26E-02;Vicino all'ER;0,119971;Homo sapiens;;PM;Nicastrin
NDC1;Q9BTX1;1,053532;4,46E-02;0,8471859;2,12E-02;Vicino all'ER;0,2063461;Homo sapiens;;Mitochondria;Nucleoporin NDC1
NDC80;O14777;2,112548;1,00E+00;1,8689;1,00E+00;Vicino all'ER;0,243648;Homo sapiens;;Cytoplasm;Kinetochore protein NDC80 homolog
NDE1;"A0A6Q8PEY3;A0A6Q8PGV6;I3L3G9;I3L522;Q9NXR1";2,258206;1,00E+00;2,000466;1,00E+00;Vicino all'ER;0,25774;Homo sapiens;;protein-complex;"NudE neurodevelopment protein 1;NudE neurodevelopment protein 1;NudE neurodevelopment protein 1 (Fragment);NudE neurodevelopment protein 1;Nuclear distribution protein nudE homolog 1"
NDFIP1;Q9BT67;1,447629;3,65E-01;1,283691;3,49E-01;Vicino all'ER;0,163938;Homo sapiens;Golgi apparatus;Golgi apparatus;NEDD4 family-interacting protein 1
NDN;Q99608;2,321784;1,00E+00;2,093272;1,00E+00;Vicino all'ER;0,228512;Homo sapiens;;protein-complex;Necdin
NDRG1;Q92597;2,084337;1,00E+00;1,842007;1,00E+00;Vicino all'ER;0,24233;Homo sapiens;Cytoplasm;Cytoplasm;Protein NDRG1
NDRG3;Q9UGV2;2,084082;1,00E+00;1,832293;1,00E+00;Vicino all'ER;0,251789;Homo sapiens;;Cytoplasm;Protein NDRG3
NDST1;P52848;0,8577454;1,17E-02;0,8267074;1,77E-02;Vicino all'ER;0,031038;Homo sapiens;Golgi apparatus;Golgi apparatus;Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 1
NDUFA1;O15239;1,399095;2,94E-01;1,162554;1,87E-01;Vicino all'ER;0,236541;Homo sapiens;;Mitochondria;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1
NDUFA10;"A0A087WXC5;A0A7I2V594;E7ESZ7;O95299";0,7311656;4,72E-03;0,6028984;2,32E-03;Vicino all'ER;0,1282672;Homo sapiens;Mitochondria;Mitochondria;"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial"
NDUFA11;"K7EK78;K7EP35;K7EQ77;Q86Y39";0,7215911;4,30E-03;0,623405;2,84E-03;Vicino all'ER;0,0981861;Homo sapiens;;Mitochondria;"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11 (Fragment);NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11"
NDUFA12;Q9UI09;1,039335;4,13E-02;0,7941641;1,34E-02;Vicino all'ER;0,2451709;Homo sapiens;Mitochondria;Mitochondria;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12
NDUFA13;Q9P0J0;0,6679215;2,91E-03;0,5466161;1,30E-03;Vicino all'ER;0,1213054;Homo sapiens;Mitochondria;Mitochondria;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13
NDUFA2;O43678;0,6754649;3,05E-03;0,6292242;2,99E-03;Vicino all'ER;0,0462407;Homo sapiens;Mitochondria;Mitochondria;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2
NDUFA3;O95167;0,7781017;6,84E-03;0,8146294;1,62E-02;Vicino al REPLICOMA;0,0365277;Homo sapiens;;Mitochondria;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3
NDUFA4;O00483;0,9845739;2,92E-02;0,7538608;9,83E-03;Vicino all'ER;0,2307131;Homo sapiens;;Mitochondria;Cytochrome c oxidase subunit NDUFA4
NDUFA5;Q16718;0,8824101;1,40E-02;0,6699595;4,84E-03;Vicino all'ER;0,2124506;Homo sapiens;Mitochondria;Mitochondria;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5
NDUFA6;P56556;0,9817756;2,87E-02;0,7401932;8,88E-03;Vicino all'ER;0,2415824;Homo sapiens;Mitochondria;Mitochondria;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6
NDUFA7;O95182;0,7605821;6,03E-03;0,626936;2,97E-03;Vicino all'ER;0,1336461;Homo sapiens;Mitochondria;Mitochondria;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7
NDUFA8;P51970;0,7777648;6,81E-03;0,6248743;2,89E-03;Vicino all'ER;0,1528905;Homo sapiens;Mitochondria;Mitochondria;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8
NDUFA9;Q16795;0,8603435;1,20E-02;0,6498128;3,74E-03;Vicino all'ER;0,2105307;Homo sapiens;Mitochondria;Mitochondria;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial
NDUFAB1;O14561;1,315596;1,97E-01;1,047104;9,54E-02;Vicino all'ER;0,268492;Homo sapiens;Mitochondria;Mitochondria;Acyl carrier protein, mitochondrial
NDUFAF1;"A0A7I2V4I7;H0YL22;H0YNN4;Q9Y375";1,476837;4,14E-01;1,319996;4,14E-01;Vicino all'ER;0,156841;Homo sapiens;;Translation;"Complex I intermediate-associated protein 30, mitochondrial;Complex I intermediate-associated protein 30, mitochondrial;Complex I intermediate-associated protein 30, mitochondrial (Fragment);Complex I intermediate-associated protein 30, mitochondrial"
NDUFAF2;Q8N183;0,8412375;1,05E-02;0,6680195;4,72E-03;Vicino all'ER;0,173218;Homo sapiens;Mitochondria;Mitochondria;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 2
NDUFAF5;"B3KR61;Q5TEU4";1,312272;1,93E-01;1,045782;9,46E-02;Vicino all'ER;0,26649;Homo sapiens;Mitochondria;Mitochondria;"Arginine-hydroxylase NDUFAF5, mitochondrial;Arginine-hydroxylase NDUFAF5, mitochondrial"
NDUFB1;O75438;1,36119;2,47E-01;1,113276;1,43E-01;Vicino all'ER;0,247914;Homo sapiens;;Mitochondria;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1
NDUFB10;O96000;0,801256;7,99E-03;0,6145597;2,58E-03;Vicino all'ER;0,1866963;Homo sapiens;Mitochondria;Mitochondria;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10
NDUFB11;Q9NX14;0,710406;3,95E-03;0,6016896;2,31E-03;Vicino all'ER;0,1087164;Homo sapiens;Mitochondria;Mitochondria;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial
NDUFB3;O43676;0,8790736;1,38E-02;0,7235076;7,66E-03;Vicino all'ER;0,155566;Homo sapiens;Mitochondria;Mitochondria;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3
NDUFB4;O95168;0,9038804;1,61E-02;0,7056827;6,72E-03;Vicino all'ER;0,1981977;Homo sapiens;;Mitochondria;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4
NDUFB5;"E7EWP0;H0Y886;O43674";1,181725;9,46E-02;0,9361179;4,27E-02;Vicino all'ER;0,2456071;Homo sapiens;;Mitochondria;"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial (Fragment);NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial"
NDUFB6;O95139;0,8664332;1,25E-02;0,6694867;4,78E-03;Vicino all'ER;0,1969465;Homo sapiens;Mitochondria;Mitochondria;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6
NDUFB7;P17568;1,474367;4,08E-01;1,193568;2,22E-01;Vicino all'ER;0,280799;Homo sapiens;Mitochondria;Mitochondria;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7
NDUFB8;O95169;1,201826;1,06E-01;0,9691722;5,53E-02;Vicino all'ER;0,2326538;Homo sapiens;Mitochondria;Mitochondria;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial
NDUFB9;Q9Y6M9;0,7805154;6,91E-03;0,5817346;1,82E-03;Vicino all'ER;0,1987808;Homo sapiens;;Mitochondria;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9
NDUFC2;O95298;1,231867;1,25E-01;0,988359;6,35E-02;Vicino all'ER;0,243508;Homo sapiens;;Mitochondria;NADH dehydrogenase [ubiquinone] 1 subunit C2
NDUFS1;P28331;0,6032507;1,59E-03;0,5528824;1,36E-03;Vicino all'ER;0,0503683;Homo sapiens;Mitochondria;Nucleus;NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial
NDUFS2;O75306;0,7075512;3,89E-03;0,6792721;5,30E-03;Vicino all'ER;0,0282791;Homo sapiens;Mitochondria;Mitochondria;NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial
NDUFS3;O75489;0,747073;5,34E-03;0,5912184;2,09E-03;Vicino all'ER;0,1558546;Homo sapiens;;Mitochondria;NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial
NDUFS4;O43181;0,7890835;7,48E-03;0,6256972;2,92E-03;Vicino all'ER;0,1633863;Homo sapiens;Mitochondria;Mitochondria;NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial
NDUFS5;O43920;0,7937379;7,63E-03;0,6406957;3,31E-03;Vicino all'ER;0,1530422;Homo sapiens;Mitochondria;Mitochondria;NADH dehydrogenase [ubiquinone] iron-sulfur protein 5
NDUFS6;O75380;0,6773709;3,04E-03;0,6684808;4,78E-03;Vicino all'ER;0,0088901;Homo sapiens;Mitochondria;Mitochondria;NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial
NDUFS7;O75251;0,8408383;1,05E-02;0,6495825;3,74E-03;Vicino all'ER;0,1912558;Homo sapiens;Mitochondria;Mitochondria;NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial
NDUFS8;"E9PPW7;O00217";0,8651301;1,24E-02;0,6373132;3,25E-03;Vicino all'ER;0,2278169;Homo sapiens;Mitochondria;Mitochondria;"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial (Fragment);NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial"
NDUFV1;"G3V0I5;P49821";0,8880801;1,44E-02;0,6717526;4,90E-03;Vicino all'ER;0,2163275;Homo sapiens;Mitochondria;Mitochondria;"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial;NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial"
NDUFV2;E7EPT4;0,6959023;3,56E-03;0,4720989;4,55E-04;Vicino all'ER;0,2238034;Homo sapiens;Mitochondria;Mitochondria;NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial
NEBL;O76041;0,9022266;1,59E-02;0,8899259;2,99E-02;Vicino all'ER;0,0123007;Homo sapiens;;PM;Nebulette
NECAP1;"A0A1W2PNT6;A0A1W2PR09;A0A1W2PRL5;A0A1W2PRM0;F5GYH1;F5H2U7;Q8NC96";2,11967;1,00E+00;1,872609;1,00E+00;Vicino all'ER;0,247061;Homo sapiens;;Cytoplasm;"NECAP endocytosis associated 1;Adaptin ear-binding coat-associated protein 1;Adaptin ear-binding coat-associated protein 1;Adaptin ear-binding coat-associated protein 1;Adaptin ear-binding coat-associated protein 1 (Fragment);NECAP endocytosis associated 1 (Fragment);Adaptin ear-binding coat-associated protein 1"
NECAP2;Q9NVZ3;2,121588;1,00E+00;1,875269;1,00E+00;Vicino all'ER;0,246319;Homo sapiens;;Cytoplasm;Adaptin ear-binding coat-associated protein 2
NECTIN2;Q92692;1,154341;8,12E-02;1,056875;1,02E-01;Vicino all'ER;0,097466;Homo sapiens;;PM;Nectin-2
NECTIN3;Q9NQS3;1,11012;6,35E-02;1,10445;1,36E-01;Vicino all'ER;0,00567;Homo sapiens;;PM;Nectin-3
NEDD1;Q8NHV4;1,675559;7,82E-01;1,527201;8,23E-01;Vicino all'ER;0,148358;Homo sapiens;;endosome-vesicle;Protein NEDD1
NEDD4;P46934;1,899684;1,00E+00;1,684917;1,00E+00;Vicino all'ER;0,214767;Homo sapiens;Cytoplasm;Cytoplasm;E3 ubiquitin-protein ligase NEDD4
NEDD4;A0A3B3IUC1;1,917865;1,00E+00;1,699808;1,00E+00;Vicino all'ER;0,218057;Homo sapiens;Cytoplasm;Cytoplasm;NEDD4 E3 ubiquitin protein ligase
NEDD4L;Q96PU5;1,894085;1,00E+00;1,644522;1,00E+00;Vicino all'ER;0,249563;Homo sapiens;;Cytoplasm;E3 ubiquitin-protein ligase NEDD4-like
NEDD8;Q15843;2,100664;1,00E+00;1,860672;1,00E+00;Vicino all'ER;0,239992;Homo sapiens;;Cytoplasm;NEDD8
NEGR1;Q7Z3B1;1,599651;6,40E-01;1,425464;6,19E-01;Vicino all'ER;0,174187;Homo sapiens;;PM;Neuronal growth regulator 1
NEK1;"A0A8I5KRM5;A0A8I5KSI3;Q96PY6";2,223656;1,00E+00;1,98104;1,00E+00;Vicino all'ER;0,242616;Homo sapiens;Cytoplasm;Cytoplasm;"non-specific serine/threonine protein kinase;non-specific serine/threonine protein kinase;Serine/threonine-protein kinase Nek1"
NEK3;"A0A087WY58;P51956";2,116291;1,00E+00;1,864127;1,00E+00;Vicino all'ER;0,252164;Homo sapiens;;Cytoplasm;"NIMA related kinase 3;Serine/threonine-protein kinase Nek3"
NEK7;Q8TDX7;2,321457;1,00E+00;2,071961;1,00E+00;Vicino all'ER;0,249496;Homo sapiens;;Cytoplasm;Serine/threonine-protein kinase Nek7
NEK9;"A0A7I2V5R1;Q8TD19";2,274271;1,00E+00;2,070668;1,00E+00;Vicino all'ER;0,203603;Homo sapiens;protein-complex;protein-complex;"non-specific serine/threonine protein kinase;Serine/threonine-protein kinase Nek9"
NELFA;Q9H3P2;1,146434;7,72E-02;1,038126;9,05E-02;Vicino all'ER;0,108308;Homo sapiens;Nucleus;Nucleus;Negative elongation factor A
NELFB;"A0A5H1ZRP4;Q8WX92";0,8696333;1,27E-02;0,8801284;2,79E-02;Vicino al REPLICOMA;0,0104951;Homo sapiens;;Nucleus;Negative elongation factor B
NELFCD;"H0UI80;Q8IXH7;X6RLT1";1,111393;6,38E-02;0,9928024;6,56E-02;Vicino all'ER;0,1185906;Homo sapiens;;Nucleus;"Negative elongation factor complex member C/D;Negative elongation factor C/D;Negative elongation factor complex member C/D (Fragment)"
NELFE;P18615;0,910056;1,68E-02;0,8994115;3,20E-02;Vicino all'ER;0,0106445;Homo sapiens;;Nucleus;Negative elongation factor E
NEMF;O60524;1,974343;1,00E+00;1,775297;1,00E+00;Vicino all'ER;0,199046;Homo sapiens;;Translation;Ribosome quality control complex subunit NEMF
NENF;Q9UMX5;1,397933;2,93E-01;1,100823;1,33E-01;Vicino all'ER;0,29711;Homo sapiens;ER;ER;Neudesin
NEO1;Q92859;1,286611;1,70E-01;1,144729;1,71E-01;Vicino all'ER;0,141882;Homo sapiens;;PM;Neogenin
NES;P48681;1,261935;1,48E-01;1,160547;1,85E-01;Vicino all'ER;0,101388;Homo sapiens;;Nucleus;Nestin
NEU1;Q99519;0,9019468;1,59E-02;0,7717938;1,12E-02;Vicino all'ER;0,130153;Homo sapiens;Lysosome;Lysosome;Sialidase-1
NEURL4;"I3L2W2;Q96JN8";2,22233;1,00E+00;2,017812;1,00E+00;Vicino all'ER;0,204518;Homo sapiens;;Translation;"Neuralized E3 ubiquitin protein ligase 4;Neuralized-like protein 4"
NEXN;Q0ZGT2;0,4970255;3,00E-04;0,4808717;4,68E-04;Vicino all'ER;0,0161538;Homo sapiens;;Mitochondria;Nexilin
NEXN;E7EUA0;0,9398305;2,13E-02;1,000762;6,89E-02;Vicino al REPLICOMA;0,0609315;Homo sapiens;;Nucleus;Nexilin F-actin binding protein (Fragment)
NF1;"A0A8I5KWR6;P21359";1,447795;3,66E-01;1,316792;4,06E-01;Vicino all'ER;0,131003;Homo sapiens;;Translation;"Neurofibromin 1;Neurofibromin"
NF2;P35240;1,265615;1,51E-01;1,087179;1,23E-01;Vicino all'ER;0,178436;Homo sapiens;;PM;Merlin
NFAT5;O94916;2,437904;1,00E+00;2,182848;1,00E+00;Vicino all'ER;0,255056;Homo sapiens;Nucleus;Translation;Nuclear factor of activated T-cells 5
NFATC2IP;Q8NCF5;2,121572;1,00E+00;1,880469;1,00E+00;Vicino all'ER;0,241103;Homo sapiens;;Cytoplasm;NFATC2-interacting protein
NFATC4;Q14934;2,048183;1,00E+00;1,808316;1,00E+00;Vicino all'ER;0,239867;Homo sapiens;;Cytoplasm;Nuclear factor of activated T-cells, cytoplasmic 4
NFIA;A0A8V8TQG7;1,062132;4,76E-02;0,8772119;2,72E-02;Vicino all'ER;0,1849201;Homo sapiens;Nucleus;Nucleus;Nuclear factor 1
NFIC;P08651;0,9300653;1,96E-02;0,8951036;3,11E-02;Vicino all'ER;0,0349617;Homo sapiens;Nucleus;Nucleus;Nuclear factor 1 C-type
NFIX;A0A8J8YL86;1,286008;1,70E-01;1,202332;2,33E-01;Vicino all'ER;0,083676;Homo sapiens;Nucleus;Nucleus;Nuclear factor 1
NFKB1;"D6RH30;P19838";2,127866;1,00E+00;1,881038;1,00E+00;Vicino all'ER;0,246828;Homo sapiens;;Cytoplasm;Nuclear factor NF-kappa-B p105 subunit
NFKB2;Q00653;1,934942;1,00E+00;1,721576;1,00E+00;Vicino all'ER;0,213366;Homo sapiens;protein-complex;Cytoplasm;Nuclear factor NF-kappa-B p100 subunit
NFKBIB;Q15653;2,133081;1,00E+00;1,884931;1,00E+00;Vicino all'ER;0,24815;Homo sapiens;;Cytoplasm;NF-kappa-B inhibitor beta
NFKBIE;"O00221;Q7LC14";2,031626;1,00E+00;1,768174;1,00E+00;Vicino all'ER;0,263452;Homo sapiens;;Cytoplasm;"NF-kappa-B inhibitor epsilon;NFKB inhibitor epsilon"
